n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
1127	405	722	0.3593611357586513	0.5892479737355083	0.4452140494916541	0.1340114041233991	MDS	drug_cold	3	Low	25	0.2250657743597506	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
125	33	92	0.264	0.8270750988142292	0.6036006366005312	0.46141390842463476	MDS	drug_cold	4	High	3	0.8415926746418547	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
613	234	379	0.3817292006525285	0.7200460050064272	0.6538988116413891	0.44021100669174545	MDS	drug_cold	4	Medium	13	0.5855999592115807	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1700	952	748	0.56	0.6887385970430953	0.6392259968317201	0.18005908370845466	MDS	drug_cold	4	Low	26	0.18139433538490374	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
291	187	104	0.6426116838487973	0.6338440970793912	0.744694034328188	0.28563426912983375	MDS	drug_cold	5	High	4	0.8284320667665679	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
254	70	184	0.2755905511811024	0.7205745341614906	0.4410185119630923	0.22836251107948605	MDS	drug_cold	5	Medium	7	0.5121372315744112	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1521	776	745	0.5101906640368179	0.7103577112018267	0.7126346224978937	0.41331175948898824	MDS	drug_cold	5	Low	26	0.19712708096343562	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
989	777	212	0.7856420626895855	0.8478485223768242	0.9423651143347945	0.7311278211184518	MDS	drug_cold	6	High	6	0.873573376404519	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
207	14	193	0.06763285024154589	0.7786824574389342	0.18534059181319823	0.1262461269706323	MDS	drug_cold	6	Medium	5	0.5387089135170976	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1490	552	938	0.3704697986577181	0.7465892586755662	0.5494571420919199	0.28431891441040574	MDS	drug_cold	6	Low	24	0.2137578224788007	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
659	496	163	0.7526555386949925	0.6294280625371066	0.837172351847573	0.3416968090033778	MDS	drug_cold	7	High	5	0.9206988972845502	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
521	312	209	0.5988483685220729	0.6126088823457245	0.6313762351525924	0.08108621298804153	MDS	drug_cold	7	Medium	6	0.5743622304968052	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1570	567	1003	0.3611464968152866	0.4528565977552351	0.3772317622985755	0.025178331813323643	MDS	drug_cold	7	Low	30	0.21253420790887578	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
797	561	236	0.7038895859473023	0.7001797637390857	0.7683720087129815	0.21776479213663683	MDS	drug_cold	8	High	5	0.9185488443669204	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
459	173	286	0.3769063180827887	0.5454343344516754	0.41452289943106263	0.06037066726873337	MDS	drug_cold	8	Medium	6	0.47908172630714096	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1036	412	624	0.39768339768339767	0.680412932536719	0.5377635067639037	0.23256889905032735	MDS	drug_cold	8	Low	12	0.24199036388251968	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1171	904	267	0.7719897523484202	0.6601703622684034	0.8734763329199291	0.4450965762143707	MDS	drug_cold	9	High	6	0.8715157919627516	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
