Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDR	is_p_lt_0_05	0.1	931	9307	49	190	0.0345778664233535	0.0008487921249125	0.2244897959183673	0.1602019984957559	1.4012921063797752	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.1	931	9307	49	190	0.0345778664233535	0.0008487921249125	0.0515574650912996	0.0234232298270119	2.201125355984982	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.1	931	9307	49	190	0.0345778664233535	0.0008487921249125	0.0150375939849624	0.007091436553132	2.1205285942128045	0.00499900019996	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.01	101	10094	51	198	0.0333837739538046	0.0007949399887421	0.1977745387142763	0.1454008000944035	1.3602025476191908	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.01	101	10094	51	198	0.0333837739538046	0.0007949399887421	0.3366336633663366	0.1601941747572815	2.1014101410141013	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.01	101	10094	51	198	0.0333837739538046	0.0007949399887421	0.0792079207920792	0.0244699821676243	3.236942317713553	0.0027994401119776	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.01	101	10094	51	198	0.0333837739538046	0.0007949399887421	0.0495049504950495	0.0065385377451951	7.571257125712571	0.0003999200159968	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.05	505	10094	51	198	0.0333837739538046	0.0007949399887421	0.1732679758247567	0.1454008000944035	1.1916576505236562	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.05	505	10094	51	198	0.0333837739538046	0.0007949399887421	0.2396039603960396	0.1601941747572815	1.4957095709570956	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.05	505	10094	51	198	0.0333837739538046	0.0007949399887421	0.0435643564356435	0.0244699821676243	1.7803182747424535	0.0077984403119376	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.05	505	10094	51	198	0.0333837739538046	0.0007949399887421	0.0138613861386138	0.0065385377451951	2.11995199519952	0.0441911617676464	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.1	1010	10094	51	198	0.0333837739538046	0.0007949399887421	0.1634092613522392	0.1454008000944035	1.1238539350962546	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.1	1010	10094	51	198	0.0333837739538046	0.0007949399887421	0.2207920792079208	0.1601941747572815	1.378277827782778	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.1	1010	10094	51	198	0.0333837739538046	0.0007949399887421	0.0376237623762376	0.0244699821676243	1.5375476009139375	0.0047990401919616	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.1	1010	10094	51	198	0.0333837739538046	0.0007949399887421	0.0108910891089108	0.0065385377451951	1.6656765676567655	0.0675864827034593	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.01	94	9307	49	190	0.0390053440270141	0.0001672962807782	0.1761369264547665	0.1462989120118008	1.2039524015090346	0.0035992801439712	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.01	94	9307	49	190	0.0390053440270141	0.0001672962807782	0.2127659574468085	0.1602019984957559	1.3281105070137134	0.1025794841031793	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.01	94	9307	49	190	0.0390053440270141	0.0001672962807782	0.0425531914893617	0.0234232298270119	1.816708959593988	0.1805638872225554	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.01	94	9307	49	190	0.0390053440270141	0.0001672962807782	0.0106382978723404	0.007091436553132	1.500161186331399	0.489502099580084	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.05	466	9307	49	190	0.0390053440270141	0.0001672962807782	0.1815745462575738	0.1462989120118008	1.2411202773874874	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.05	466	9307	49	190	0.0390053440270141	0.0001672962807782	0.2575107296137339	0.1602019984957559	1.6074127166432066	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.05	466	9307	49	190	0.0390053440270141	0.0001672962807782	0.0686695278969957	0.0234232298270119	2.9316848446666928	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed12_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
